,0,Category,Districts,HWES1,HWES2_ADD,HWES2_MUL,HWES3_ADD,HWES3_MUL,Price
2020-02-01,,Cross Breed,Ramanagaram,357.573172323603,415.45968258729977,411.58491417798473,435.1044331105967,436.99196663219936,452.0
2020-03-01,,Cross Breed,Ramanagaram,361.5076234767862,450.45968255749744,446.1307952559274,414.7420846170782,403.40259857838225,371.0
2020-04-01,,Cross Breed,Ramanagaram,361.90313916525344,369.45968428603214,366.18321195002534,307.3071376044853,305.8722711591756,264.0
2020-05-01,,Cross Breed,Ramanagaram,357.82384170003456,262.45968467346233,260.57231924832905,236.10641678842737,243.9435098982674,217.0
2020-06-01,,Cross Breed,Ramanagaram,351.9561816291998,215.45968377939266,214.18180790040165,195.0614345547947,203.54907836611264,214.0
2020-07-01,,Cross Breed,Ramanagaram,346.2080073946499,212.45968312374157,211.2203074999695,187.26485120665478,194.29095214204392,171.0
2020-08-01,,Cross Breed,Ramanagaram,338.90767375320615,169.459683719788,168.77899849108616,206.4332985766148,192.371344078238,237.0
2020-09-01,,Cross Breed,Ramanagaram,334.6615206801559,235.45968209556145,233.92124966072578,242.77109101414237,237.11134815279698,231.0
2020-10-01,,Cross Breed,Ramanagaram,330.3422906518161,229.45968316844503,227.99991456025444,213.5847789973384,216.8085406860204,246.0
2020-11-01,,Cross Breed,Ramanagaram,326.82802854132376,244.45968285552064,242.8050415908073,280.15451646946536,274.35045098204023,283.0
2020-12-01,,Cross Breed,Ramanagaram,325.0018606854353,281.4596825276951,279.324686966428,326.08949398930315,322.2252024343986,327.0
2021-01-01,,Cross Breed,Ramanagaram,325.08511649020886,325.459682423387,322.75372043258045,342.15820893950394,337.8679041919472,337.0
2021-02-01,,Cross Breed,Ramanagaram,325.5815699697835,335.4596829300265,332.62436606810667,355.2184980085314,354.5072703572526,376.0
2020-10-01,202.1334219040971,,,,,,,,
2020-11-01,205.4351455508389,,,,,,,,
2020-12-01,223.5842392424586,,,,,,,,
2021-01-01,253.2854085896952,,,,,,,,
2021-02-01,235.13483806659045,,,,,,,,
2021-03-01,245.03464473877804,,,,,,,,
2021-04-01,275.59940018562685,,,,,,,,
2021-05-01,260.53592494515306,,,,,,,,
2021-06-01,250.6319554927244,,,,,,,,
2021-07-01,237.22473536639882,,,,,,,,
2021-08-01,250.85363550703315,,,,,,,,
2021-09-01,258.4793359703811,,,,,,,,
2021-10-01,239.78859474601666,,,,,,,,
2021-11-01,276.6130387355237,,,,,,,,
2021-12-01,317.8543990531379,,,,,,,,
2022-01-01,322.8057199690596,,,,,,,,
2022-02-01,342.6017540469595,,,,,,,,
2022-03-01,298.52358456806815,,,,,,,,
2022-04-01,233.61019832459615,,,,,,,,
2022-05-01,205.7558137765192,,,,,,,,
2022-06-01,181.26321801241227,,,,,,,,
2022-07-01,153.93488201463893,,,,,,,,
2022-08-01,192.1875099832141,,,,,,,,
2022-09-01,190.58855736454277,,,,,,,,
